candidate_id,rules,details_json
CAND_0000031,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.33, ""total_years_exp"": 6.0, ""skill"": ""Pinecone""}}"
CAND_0001610,timeline_sum|skill_years_impossible,"{""timeline_sum"": {""total_years_from_roles"": 5.08, ""claimed_years"": 3.0, ""tolerance_years"": 2.0}, ""skill_years_impossible"": {""max_skill_years"": 7.67, ""total_years_exp"": 3.0, ""skill"": ""Fine-tuning LLMs""}}"
CAND_0002025,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.17, ""total_years_exp"": 5.9, ""skill"": ""FAISS""}}"
CAND_0003977,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.75, ""total_years_exp"": 4.6, ""skill"": ""Learning to Rank""}}"
CAND_0005260,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.92, ""total_years_exp"": 5.2, ""skill"": ""Embeddings""}}"
CAND_0005538,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.58, ""total_years_exp"": 5.9, ""skill"": ""pgvector""}}"
CAND_0006418,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 5.7, ""skill"": ""Weaviate""}}"
CAND_0007412,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 8.0, ""total_years_exp"": 7.4, ""skill"": ""Pinecone""}}"
CAND_0007460,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.58, ""total_years_exp"": 4.7, ""skill"": ""RAG""}}"
CAND_0008239,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 6.0, ""total_years_exp"": 4.0, ""skill"": ""Milvus""}}"
CAND_0009024,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.5, ""total_years_exp"": 5.2, ""skill"": ""OpenSearch""}}"
CAND_0009691,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.42, ""total_years_exp"": 6.2, ""skill"": ""LoRA""}}"
CAND_0009837,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.75, ""total_years_exp"": 4.3, ""skill"": ""Learning to Rank""}}"
CAND_0010257,skill_years_impossible,"{""skill_years_impossible"": {""max_skill_years"": 7.17, ""total_years_exp"": 6.5, ""skill"": ""Python""}}"
